557.89,224.87,5.00,0.00
587.75,224.97,6.00,0.00
552.32,203.26,5.00,-1.00
581.74,203.58,6.00,-1.00
200.39,124.15,-7.00,-5.00
228.21,124.12,-6.00,-5.00
283.56,124.40,-4.00,-5.00
256.09,124.17,-5.00,-5.00
173.19,124.08,-8.00,-5.00
146.03,124.27,-9.00,-5.00
396.98,142.77,0.00,-4.00
425.34,143.12,1.00,-4.00
311.59,124.57,-3.00,-5.00
284.73,107.48,-4.00,-6.00
312.00,107.45,-3.00,-6.00
367.57,124.89,-1.00,-5.00
395.22,124.99,0.00,-5.00
203.38,107.51,-7.00,-6.00
176.67,107.70,-8.00,-6.00
123.70,107.87,-10.00,-6.00
150.02,107.69,-9.00,-6.00
39.27,124.89,-13.00,-5.00
65.71,124.67,-12.00,-5.00
230.41,107.44,-6.00,-6.00
257.54,107.30,-5.00,-6.00
485.17,162.87,3.00,-3.00
518.18,182.66,4.00,-2.00
513.71,163.41,4.00,-3.00
339.39,124.68,-2.00,-5.00
453.25,143.62,2.00,-4.00
481.58,144.19,3.00,-4.00
339.14,107.62,-2.00,-6.00
366.71,107.83,-1.00,-6.00
547.00,183.03,5.00,-2.00
45.62,108.29,-13.00,-6.00
206.01,91.06,-7.00,-7.00
232.63,91.02,-6.00,-7.00
97.32,107.97,-11.00,-6.00
128.34,91.76,-10.00,-7.00
102.43,91.96,-11.00,-7.00
259.21,91.00,-5.00,-7.00
285.60,90.94,-4.00,-7.00
179.96,91.24,-8.00,-7.00
153.88,91.36,-9.00,-7.00
312.35,91.01,-3.00,-7.00
339.07,91.07,-2.00,-7.00
71.55,108.18,-12.00,-6.00
393.67,107.95,0.00,-6.00
422.91,125.51,1.00,-5.00
420.78,108.52,1.00,-6.00
365.83,91.17,-1.00,-7.00
392.23,91.33,0.00,-7.00
450.47,125.99,2.00,-5.00
208.72,74.98,-7.00,-8.00
183.14,75.17,-8.00,-8.00
575.58,183.51,6.00,-2.00
603.81,184.05,7.00,-2.00
541.80,163.92,5.00,-3.00
569.91,164.44,6.00,-3.00
157.51,75.47,-9.00,-8.00
132.35,76.01,-10.00,-8.00
77.15,92.26,-12.00,-7.00
51.79,92.39,-13.00,-7.00
477.79,126.39,3.00,-5.00
509.37,144.79,4.00,-4.00
505.02,127.05,4.00,-5.00
234.56,74.96,-6.00,-8.00
260.64,75.05,-5.00,-8.00
447.56,109.00,2.00,-6.00
474.48,109.18,3.00,-6.00
107.15,76.30,-11.00,-8.00
82.32,76.82,-12.00,-8.00
536.76,145.24,5.00,-4.00
312.60,75.17,-3.00,-8.00
286.59,75.11,-4.00,-8.00
418.77,91.93,1.00,-7.00
444.99,92.27,2.00,-7.00
211.15,59.88,-7.00,-9.00
236.60,59.88,-6.00,-9.00
597.55,164.92,7.00,-3.00
