3146.12,2276.27,-78.75,-63.75
3073.07,2275.82,-75.00,-63.75
2999.69,2275.42,-71.25,-63.75
2926.45,2274.91,-67.50,-63.75
2853.09,2274.40,-63.75,-63.75
2779.77,2273.96,-60.00,-63.75
2706.32,2273.53,-56.25,-63.75
2632.97,2272.98,-52.50,-63.75
2559.46,2272.53,-48.75,-63.75
2486.12,2272.02,-45.00,-63.75
2412.68,2271.41,-41.25,-63.75
2339.26,2270.91,-37.50,-63.75
2265.68,2270.41,-33.75,-63.75
2192.37,2269.85,-30.00,-63.75
2118.67,2269.27,-26.25,-63.75
2045.27,2268.75,-22.50,-63.75
1971.63,2268.24,-18.75,-63.75
1898.30,2267.69,-15.00,-63.75
1824.53,2267.09,-11.25,-63.75
1751.17,2266.53,-7.50,-63.75
1677.44,2265.98,-3.75,-63.75
1604.06,2265.37,0.00,-63.75
1457.01,2264.14,7.50,-63.75
1383.28,2263.47,11.25,-63.75
1309.93,2262.94,15.00,-63.75
1236.25,2262.29,18.75,-63.75
1162.84,2261.67,22.50,-63.75
1089.26,2261.02,26.25,-63.75
1015.88,2260.34,30.00,-63.75
942.33,2259.73,33.75,-63.75
795.56,2258.38,41.25,-63.75
722.31,2257.73,45.00,-63.75
648.82,2257.07,48.75,-63.75
575.53,2256.35,52.50,-63.75
502.10,2255.72,56.25,-63.75
3220.13,2203.54,-82.50,-60.00
3146.82,2203.08,-78.75,-60.00
3073.75,2202.63,-75.00,-60.00
3000.38,2202.16,-71.25,-60.00
2927.14,2201.71,-67.50,-60.00
2853.75,2201.25,-63.75,-60.00
2780.43,2200.79,-60.00,-60.00
2706.94,2200.28,-56.25,-60.00
2633.67,2199.68,-52.50,-60.00
2560.07,2199.14,-48.75,-60.00
2486.83,2198.64,-45.00,-60.00
2413.32,2198.17,-41.25,-60.00
2339.84,2197.65,-37.50,-60.00
2266.35,2197.11,-33.75,-60.00
2192.91,2196.57,-30.00,-60.00
2119.32,2196.03,-26.25,-60.00
2045.91,2195.45,-22.50,-60.00
1972.18,2194.93,-18.75,-60.00
1898.80,2194.38,-15.00,-60.00
1825.13,2193.83,-11.25,-60.00
1751.73,2193.26,-7.50,-60.00
1678.00,2192.65,-3.75,-60.00
1604.59,2192.07,0.00,-60.00
1530.98,2191.49,3.75,-60.00
1457.55,2190.85,7.50,-60.00
1383.81,2190.21,11.25,-60.00
1310.48,2189.60,15.00,-60.00
1236.73,2189.00,18.75,-60.00
1163.36,2188.37,22.50,-60.00
1089.76,2187.74,26.25,-60.00
1016.34,2187.13,30.00,-60.00
942.79,2186.52,33.75,-60.00
869.54,2185.81,37.50,-60.00
796.00,2185.09,41.25,-60.00
722.72,2184.41,45.00,-60.00
649.28,2183.76,48.75,-60.00
575.96,2183.08,52.50,-60.00
502.49,2182.39,56.25,-60.00
429.45,2181.70,60.00,-60.00
3220.84,2130.21,-82.50,-56.25
3147.54,2129.74,-78.75,-56.25
3074.44,2129.22,-75.00,-56.25
3001.07,2128.72,-71.25,-56.25
2927.82,2128.24,-67.50,-56.25
2854.40,2127.70,-63.75,-56.25
2781.07,2127.19,-60.00,-56.25
2707.58,2126.71,-56.25,-56.25
2634.31,2126.19,-52.50,-56.25
2560.69,2125.69,-48.75,-56.25
2487.44,2125.13,-45.00,-56.25
2413.91,2124.62,-41.25,-56.25
2340.49,2124.11,-37.50,-56.25
2266.94,2123.59,-33.75,-56.25
2193.55,2123.08,-30.00,-56.25
2119.94,2122.48,-26.25,-56.25
2046.48,2121.91,-22.50,-56.25
1972.80,2121.38,-18.75,-56.25
1899.37,2120.89,-15.00,-56.25
1825.70,2120.32,-11.25,-56.25
1752.28,2119.72,-7.50,-56.25
1678.57,2119.09,-3.75,-56.25
1605.13,2118.51,0.00,-56.25
1531.53,2117.91,3.75,-56.25
1458.09,2117.30,7.50,-56.25
1384.32,2116.67,11.25,-56.25
1310.97,2116.05,15.00,-56.25
1237.23,2115.46,18.75,-56.25
1163.86,2114.84,22.50,-56.25
1090.20,2114.24,26.25,-56.25
1016.82,2113.59,30.00,-56.25
943.24,2112.93,33.75,-56.25
870.02,2112.23,37.50,-56.25
796.45,2111.55,41.25,-56.25
723.18,2110.94,45.00,-56.25
649.69,2110.30,48.75,-56.25
576.39,2109.60,52.50,-56.25
502.95,2108.91,56.25,-56.25
